
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount
366        366  2016-2017          Area Irrigated                    Left Pumps    Haripur          0
367        367  2016-2017          Area Irrigated                         Wells    Haripur        760
368        368  2016-2017          Area Irrigated                        Others    Haripur       4165
369        369  2016-2017               Tubewells                 Govt - Deisel    Haripur          0
370        370  2016-2017               Tubewells                  Govt - Elect    Haripur          0
371        371  2016-2017               Tubewells                  Pvt - Deisel    Haripur          0
372        372  2016-2017               Tubewells                   Pvt - Elect    Haripur          0
373        373  2016-2017     Tractors/Bulldozers               Govt - Tractors    Haripur          0
374        374  2016-2017     Tractors/Bulldozers              Govt - Bulldozer    Haripur          0
375        375  2016-2017     Tractors/Bulldozers                Pvt - Tractors    Haripur          0
376        376  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer    Haripur          0
377        377  2016-2017  Agricultural Machinery        Wheat Threshers - Govt    Haripur          0
378        378  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt    Haripur          0
379        379  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt    Haripur          0
380        380  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt    Haripur          0
381        381  2016-2017  Agricultural Machinery         Maize Shellers - Govt    Haripur          0
382        382  2016-2017  Agricultural Machinery          Maize Shellers - Pvt    Haripur          0
383        383  2016-2017  Agricultural Machinery        Wheat Harvester - Govt    Haripur          0
384        384  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt    Haripur          0
385        385  2016-2017                   Wheat            Area (in Hectares)    Haripur      37505
386        386  2016-2017                   Wheat        Production (in Tonnes)    Haripur      74458
387        387  2016-2017                   Wheat       Yield per Hectare in Kg    Haripur       1985
388        388  2016-2017               Sugarcane            Area (in Hectares)    Haripur        102
389        389  2016-2017               Sugarcane        Production (in Tonnes)    Haripur       3212
390        390  2016-2017               Sugarcane       Yield per Hectare in Kg    Haripur      31490
391        391  2016-2017                    Rice            Area (in Hectares)    Haripur          0
392        392  2016-2017                    Rice        Production (in Tonnes)    Haripur          0
393        393  2016-2017                    Rice       Yield per Hectare in Kg    Haripur          0
394        394  2016-2017                   Maize            Area (in Hectares)    Haripur      40994
395        395  2016-2017                   Maize        Production (in Tonnes)    Haripur      55646
396        396  2016-2017                   Maize       Yield per Hectare in Kg    Haripur       1357
397        397  2016-2017              Fertilizer             Total (in Tonnes)      Karak         83
398        398  2016-2017          Area Irrigated                  Canal - Govt      Karak       5435
399        399  2016-2017          Area Irrigated                   Canal - Pvt      Karak      15115
400        400  2016-2017          Area Irrigated                         Tanks      Karak       2031
401        401  2016-2017          Area Irrigated                     Tubewells      Karak       2152
402        402  2016-2017          Area Irrigated                    Left Pumps      Karak          0
403        403  2016-2017          Area Irrigated                         Wells      Karak        129
404        404  2016-2017          Area Irrigated                        Others      Karak          0
405        405  2016-2017               Tubewells                 Govt - Deisel      Karak          0
406        406  2016-2017               Tubewells                  Govt - Elect      Karak         31
407        407  2016-2017               Tubewells                  Pvt - Deisel      Karak         10
408        408  2016-2017               Tubewells                   Pvt - Elect      Karak         65
409        409  2016-2017     Tractors/Bulldozers               Govt - Tractors      Karak          9
410        410  2016-2017     Tractors/Bulldozers              Govt - Bulldozer      Karak          3
411        411  2016-2017     Tractors/Bulldozers                Pvt - Tractors      Karak       1075
412        412  2016-2017     Tractors/Bulldozers               Pvt - Bulldozer      Karak         30
413        413  2016-2017  Agricultural Machinery        Wheat Threshers - Govt      Karak          3
414        414  2016-2017  Agricultural Machinery         Wheat Threshers - Pvt      Karak        503
415        415  2016-2017  Agricultural Machinery  Rice Husking Machines - Govt      Karak          0
416        416  2016-2017  Agricultural Machinery   Rice Husking Machines - Pvt      Karak          0
417        417  2016-2017  Agricultural Machinery         Maize Shellers - Govt      Karak          1
418        418  2016-2017  Agricultural Machinery          Maize Shellers - Pvt      Karak        129
419        419  2016-2017  Agricultural Machinery        Wheat Harvester - Govt      Karak          1
420        420  2016-2017  Agricultural Machinery         Wheat Harvester - Pvt      Karak         32
421        421  2016-2017                   Wheat            Area (in Hectares)      Karak      21140
422        422  2016-2017                   Wheat        Production (in Tonnes)      Karak      10248
423        423  2016-2017                   Wheat       Yield per Hectare in Kg      Karak        485
424        424  2016-2017               Sugarcane            Area (in Hectares)      Karak          0
425        425  2016-2017               Sugarcane        Production (in Tonnes)      Karak          0
426        426  2016-2017               Sugarcane       Yield per Hectare in Kg      Karak          0
427        427  2016-2017                    Rice            Area (in Hectares)      Karak          0
428        428  2016-2017                    Rice        Production (in Tonnes)      Karak          0
429        429  2016-2017                    Rice       Yield per Hectare in Kg      Karak          0
430        430  2016-2017                   Maize            Area (in Hectares)      Karak         80
431        431  2016-2017                   Maize        Production (in Tonnes)      Karak         85
432        432  2016-2017                   Maize       Yield per Hectare in Kg      Karak       1063
433        433  2016-2017              Fertilizer             Total (in Tonnes)      Kohat       4807
434        434  2016-2017          Area Irrigated                  Canal - Govt      Kohat         25
435        435  2016-2017          Area Irrigated                   Canal - Pvt      Kohat          0
436        436  2016-2017          Area Irrigated                         Tanks      Kohat          0
437        437  2016-2017          Area Irrigated                     Tubewells      Kohat          0
438        438  2016-2017          Area Irrigated                    Left Pumps      Kohat          0
439        439  2016-2017          Area Irrigated                         Wells      Kohat       1405
440        440  2016-2017          Area Irrigated                        Others      Kohat        566
441        441  2016-2017               Tubewells                 Govt - Deisel      Kohat          0
